,hs,申請系所,FCU,FCU_AM,total_uni,uni_0,uni_1,uni_2,uni_3,uni_4,uni_5,uni_6,uni_7,uni_8,uni_9,uni_10,hs_state,no_public,ratio_public,no_fcu,ratio_fcu,no_math,ratio_math,taichung,hs_from_taichung
533,虎尾高中,"逢甲大學應用數學系
中原大學應用數學系
淡江大學數學學系數學組
輔仁大學數學系應用數學組",0,0,4,逢甲大學應用數學系,中原大學應用數學系,淡江大學數學學系數學組,輔仁大學數學系應用數學組,0,0,0,0,0,0,0,雲林縣,0,0.0,1,0.25,6,1.5,0,1
534,員林高中,"逢甲大學應用數學系
中原大學應用數學系
中國文化大學資訊工程學系
朝陽科技大學資訊工程系",1,1,4,逢甲大學應用數學系,中原大學應用數學系,中國文化大學資訊工程學系,朝陽科技大學資訊工程系,0,0,0,0,0,0,0,彰化縣,0,0.0,1,0.25,2,0.5,0,1
535,虎尾高中,"逢甲大學應用數學系
逢甲大學統計學系商業大數據組
逢甲大學水利工程與資源保育學系",1,0,3,逢甲大學應用數學系,逢甲大學統計學系商業大數據組,逢甲大學水利工程與資源保育學系,0,0,0,0,0,0,0,0,雲林縣,0,0.0,3,1.0,1,0.3333333333333333,0,1
536,私立海星高中,"逢甲大學應用數學系
東海大學統計學系(社會組)
東海大學經濟學系產業經濟組
淡江大學數學學系數學組
銘傳大學財務金融學系財務金融組(台北校區)",0,0,5,逢甲大學應用數學系,東海大學統計學系(社會組),東海大學經濟學系產業經濟組,淡江大學數學學系數學組,銘傳大學財務金融學系財務金融組(台北校區),0,0,0,0,0,0,花蓮縣,0,0.0,1,0.2,3,0.6,0,3
537,臺中一中,"逢甲大學應用數學系
靜宜大學財務與計算數學系計算數學組
靜宜大學會計學系
亞洲大學會計與資訊學系管理應用組
國立聯合大學臺灣語文與傳播學系",1,1,5,逢甲大學應用數學系,靜宜大學財務與計算數學系計算數學組,靜宜大學會計學系,亞洲大學會計與資訊學系管理應用組,國立聯合大學臺灣語文與傳播學系,0,0,0,0,0,0,臺中市,1,0.2,1,0.2,3,0.6,1,0
538,員林崇實高工,"逢甲大學應用數學系
逢甲大學光電學系",1,0,2,逢甲大學應用數學系,逢甲大學光電學系,0,0,0,0,0,0,0,0,0,彰化縣,0,0.0,2,1.0,1,0.5,0,1
539,竹北高中,"逢甲大學應用數學系
中原大學物理學系物理組
逢甲大學光電學系",1,1,3,逢甲大學應用數學系,中原大學物理學系物理組,逢甲大學光電學系,0,0,0,0,0,0,0,0,新竹縣,0,0.0,2,0.6666666666666666,1,0.3333333333333333,0,1
540,國立高雄師範大學,逢甲大學應用數學系,1,1,1,逢甲大學應用數學系,0,0,0,0,0,0,0,0,0,0,高雄市,0,0.0,1,1.0,1,1.0,0,2
541,新竹高中,"逢甲大學應用數學系
中原大學應用數學系
中原大學工業與系統工程學系工程組",0,0,3,逢甲大學應用數學系,中原大學應用數學系,中原大學工業與系統工程學系工程組,0,0,0,0,0,0,0,0,新竹市,0,0.0,1,0.3333333333333333,2,0.6666666666666666,0,1
542,嘉義女中,"逢甲大學應用數學系
逢甲大學水利工程與資源保育學系
靜宜大學國際企業學系
靜宜大學財務金融學系
亞洲大學經營管理學系企業創新管理組
亞洲大學財務金融學系金融科技組
朝陽科技大學資訊管理系資訊管理組",0,0,7,逢甲大學應用數學系,逢甲大學水利工程與資源保育學系,靜宜大學國際企業學系,靜宜大學財務金融學系,亞洲大學經營管理學系企業創新管理組,亞洲大學財務金融學系金融科技組,朝陽科技大學資訊管理系資訊管理組,0,0,0,0,嘉義市,0,0.0,2,0.2857142857142857,1,0.14285714285714285,0,1
543,臺中一中,"逢甲大學應用數學系
東海大學統計學系(自然組)
靜宜大學財務與計算數學系計算數學組",1,1,3,逢甲大學應用數學系,東海大學統計學系(自然組),靜宜大學財務與計算數學系計算數學組,0,0,0,0,0,0,0,0,臺中市,0,0.0,1,0.3333333333333333,3,1.0,1,0
544,成淵高中,"逢甲大學應用數學系
玄奘大學宗教學系
國立聯合大學環境與安全衛生工程學系",0,0,3,逢甲大學應用數學系,玄奘大學宗教學系,國立聯合大學環境與安全衛生工程學系,0,0,0,0,0,0,0,0,臺北市,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,0,3
545,天主教道明中學,"逢甲大學應用數學系
逢甲大學工業工程與系統管理學系
靜宜大學財務與計算數學系財務工程組
靜宜大學資訊傳播工程學系(遊戲設計組)
國立臺東大學資訊管理學系
義守大學電子工程學系
正修科技大學電子工程系綠能科技應用組
崑山科技大學材料工程系
南臺科技大學電機工程系控制與晶片組",0,0,9,逢甲大學應用數學系,逢甲大學工業工程與系統管理學系,靜宜大學財務與計算數學系財務工程組,靜宜大學資訊傳播工程學系(遊戲設計組),國立臺東大學資訊管理學系,義守大學電子工程學系,正修科技大學電子工程系綠能科技應用組,崑山科技大學材料工程系,南臺科技大學電機工程系控制與晶片組,0,0,高雄市,1,0.1111111111111111,2,0.2222222222222222,2,0.2222222222222222,0,2
546,國立彰化師範大學,"逢甲大學應用數學系
中原大學應用數學系
東海大學應用數學系
淡江大學數學學系數學組",1,1,4,逢甲大學應用數學系,中原大學應用數學系,東海大學應用數學系,淡江大學數學學系數學組,0,0,0,0,0,0,0,彰化縣,0,0.0,1,0.25,5,1.25,0,1
547,國立中興大學,"逢甲大學應用數學系
東海大學統計學系(大數據與資料科學組)
逢甲大學風險管理與保險學系",1,1,3,逢甲大學應用數學系,東海大學統計學系(大數據與資料科學組),逢甲大學風險管理與保險學系,0,0,0,0,0,0,0,0,臺中市,0,0.0,2,0.6666666666666666,1,0.3333333333333333,1,0
548,嘉義高中,"逢甲大學應用數學系
中原大學應用數學系
中原大學化學系化學組
中原大學化學系材料化學組
東海大學應用數學系",0,0,5,逢甲大學應用數學系,中原大學應用數學系,中原大學化學系化學組,中原大學化學系材料化學組,東海大學應用數學系,0,0,0,0,0,0,嘉義市,0,0.0,1,0.2,3,0.6,0,1
549,高雄中學,"逢甲大學應用數學系
中原大學應用數學系
國立屏東大學應用數學系",0,0,3,逢甲大學應用數學系,中原大學應用數學系,國立屏東大學應用數學系,0,0,0,0,0,0,0,0,高雄市,1,0.3333333333333333,1,0.3333333333333333,3,1.0,0,2
550,左營高中,"逢甲大學應用數學系
淡江大學統計學系
靜宜大學資訊工程學系
世新大學資訊管理學系資訊科技組
朝陽科技大學資訊管理系資訊管理組
明新科技大學資訊工程系
致理科技大學資訊管理系",0,0,7,逢甲大學應用數學系,淡江大學統計學系,靜宜大學資訊工程學系,世新大學資訊管理學系資訊科技組,朝陽科技大學資訊管理系資訊管理組,明新科技大學資訊工程系,致理科技大學資訊管理系,0,0,0,0,高雄市,0,0.0,1,0.14285714285714285,1,0.14285714285714285,0,2
552,中興高中,"逢甲大學應用數學系
中原大學應用數學系
中原大學機械工程學系
中原大學工業與系統工程學系工程組
逢甲大學纖維與複合材料學系
逢甲大學環境工程與科學學系",0,0,6,逢甲大學應用數學系,中原大學應用數學系,中原大學機械工程學系,中原大學工業與系統工程學系工程組,逢甲大學纖維與複合材料學系,逢甲大學環境工程與科學學系,0,0,0,0,0,南投縣,0,0.0,3,0.5,2,0.3333333333333333,0,1
553,靜宜大學,"逢甲大學應用數學系
國立臺中教育大學數學教育學系
國立東華大學應用數學系數學科學組
國立屏東大學應用數學系
國立聯合大學資訊工程學系",0,0,5,逢甲大學應用數學系,國立臺中教育大學數學教育學系,國立東華大學應用數學系數學科學組,國立屏東大學應用數學系,國立聯合大學資訊工程學系,0,0,0,0,0,0,臺中市,4,0.8,1,0.2,5,1.0,1,0
554,屏東女中,"逢甲大學應用數學系
東海大學統計學系(決策管理組)
靜宜大學財務金融學系
長榮大學財務金融學系
中華醫事科技大學護理系
美和科技大學護理系
長庚科技大學護理系(林口校區)",1,1,7,逢甲大學應用數學系,東海大學統計學系(決策管理組),靜宜大學財務金融學系,長榮大學財務金融學系,中華醫事科技大學護理系,美和科技大學護理系,長庚科技大學護理系(林口校區),0,0,0,0,屏東縣,0,0.0,1,0.14285714285714285,1,0.14285714285714285,0,3
555,文華高中,"逢甲大學應用數學系
東吳大學數學系
東海大學應用數學系
輔仁大學數學系應用數學組",1,1,4,逢甲大學應用數學系,東吳大學數學系,東海大學應用數學系,輔仁大學數學系應用數學組,0,0,0,0,0,0,0,臺中市,0,0.0,1,0.25,5,1.25,1,0
556,彰師附工,"逢甲大學應用數學系
東吳大學數學系
東海大學應用數學系
輔仁大學數學系純數學組
輔仁大學數學系應用數學組",1,1,5,逢甲大學應用數學系,東吳大學數學系,東海大學應用數學系,輔仁大學數學系純數學組,輔仁大學數學系應用數學組,0,0,0,0,0,0,彰化縣,0,0.0,1,0.2,7,1.4,0,1
557,斗六高中,"逢甲大學應用數學系
中原大學應用數學系
東海大學應用數學系
東海大學統計學系(大數據與資料科學組)
逢甲大學統計學系",1,1,5,逢甲大學應用數學系,中原大學應用數學系,東海大學應用數學系,東海大學統計學系(大數據與資料科學組),逢甲大學統計學系,0,0,0,0,0,0,雲林縣,0,0.0,2,0.4,3,0.6,0,1
558,大同高中,"逢甲大學應用數學系
靜宜大學財務與計算數學系計算數學組
銘傳大學應用統計與資料科學學系(桃園校區)",1,1,3,逢甲大學應用數學系,靜宜大學財務與計算數學系計算數學組,銘傳大學應用統計與資料科學學系(桃園校區),0,0,0,0,0,0,0,0,臺北市,0,0.0,1,0.3333333333333333,3,1.0,0,3
559,國立臺灣師範大學,"逢甲大學應用數學系
中國文化大學應用數學系
中國文化大學經濟學系
中國文化大學財務金融學系財務金融組
世新大學經濟學系",0,0,5,逢甲大學應用數學系,中國文化大學應用數學系,中國文化大學經濟學系,中國文化大學財務金融學系財務金融組,世新大學經濟學系,0,0,0,0,0,0,臺北市,0,0.0,1,0.2,2,0.4,0,3
560,高雄中學,"逢甲大學應用數學系
中原大學應用數學系
明志科技大學材料工程系",1,1,3,逢甲大學應用數學系,中原大學應用數學系,明志科技大學材料工程系,0,0,0,0,0,0,0,0,高雄市,0,0.0,1,0.3333333333333333,2,0.6666666666666666,0,2
561,員林高中,"逢甲大學應用數學系
國立聯合大學經營管理學系",0,0,2,逢甲大學應用數學系,國立聯合大學經營管理學系,0,0,0,0,0,0,0,0,0,彰化縣,1,0.5,1,0.5,1,0.5,0,1
562,新營高中,"逢甲大學應用數學系
淡江大學統計學系
靜宜大學財務與計算數學系計算數學組
亞洲大學經營管理學系行銷管理組",1,1,4,逢甲大學應用數學系,淡江大學統計學系,靜宜大學財務與計算數學系計算數學組,亞洲大學經營管理學系行銷管理組,0,0,0,0,0,0,0,臺南市,0,0.0,1,0.25,3,0.75,0,2
563,天主教道明中學,"逢甲大學應用數學系
中原大學應用數學系
朝陽科技大學營建工程系
健行科技大學土木工程系
高苑科技大學土木工程系工程技術組",1,1,5,逢甲大學應用數學系,中原大學應用數學系,朝陽科技大學營建工程系,健行科技大學土木工程系,高苑科技大學土木工程系工程技術組,0,0,0,0,0,0,高雄市,0,0.0,1,0.2,2,0.4,0,2
564,臺中二中,"逢甲大學應用數學系
靜宜大學財務金融學系",1,1,2,逢甲大學應用數學系,靜宜大學財務金融學系,0,0,0,0,0,0,0,0,0,臺中市,0,0.0,1,0.5,1,0.5,1,0
565,惠文高中,"逢甲大學應用數學系
東海大學應用數學系",1,1,2,逢甲大學應用數學系,東海大學應用數學系,0,0,0,0,0,0,0,0,0,臺中市,0,0.0,1,0.5,2,1.0,1,0
566,員林高中,"逢甲大學應用數學系
靜宜大學化粧品科學系-類繁星
義守大學醫務管理學系
義守大學國際觀光餐旅學系(國際學院)",0,0,4,逢甲大學應用數學系,靜宜大學化粧品科學系-類繁星,義守大學醫務管理學系,義守大學國際觀光餐旅學系(國際學院),0,0,0,0,0,0,0,彰化縣,0,0.0,1,0.25,1,0.25,0,1
567,員林崇實高工,"逢甲大學應用數學系
東海大學應用數學系
東海大學統計學系(社會組)
逢甲大學財稅學系
逢甲大學統計學系
逢甲大學都市計畫與空間資訊學系空間資訊組",0,0,6,逢甲大學應用數學系,東海大學應用數學系,東海大學統計學系(社會組),逢甲大學財稅學系,逢甲大學統計學系,逢甲大學都市計畫與空間資訊學系空間資訊組,0,0,0,0,0,彰化縣,0,0.0,4,0.6666666666666666,2,0.3333333333333333,0,1
568,鳳新高中,"逢甲大學應用數學系
東吳大學數學系
中國文化大學電機工程學系
義守大學電機工程學系
義守大學財務與計算數學系
朝陽科技大學營建工程系
正修科技大學電機工程系電機與控制組
正修科技大學電子工程系綠能科技應用組
遠東科技大學電機工程系",1,1,9,逢甲大學應用數學系,東吳大學數學系,中國文化大學電機工程學系,義守大學電機工程學系,義守大學財務與計算數學系,朝陽科技大學營建工程系,正修科技大學電機工程系電機與控制組,正修科技大學電子工程系綠能科技應用組,遠東科技大學電機工程系,0,0,高雄市,0,0.0,1,0.1111111111111111,3,0.3333333333333333,0,2
569,新營高中,"逢甲大學應用數學系
中原大學應用數學系
國立臺南大學應用數學系
國立臺東大學應用數學系
國立嘉義大學應用數學系",0,0,5,逢甲大學應用數學系,中原大學應用數學系,國立臺南大學應用數學系,國立臺東大學應用數學系,國立嘉義大學應用數學系,0,0,0,0,0,0,臺南市,3,0.6,1,0.2,5,1.0,0,2
570,惠文高中,"逢甲大學應用數學系
東海大學資訊工程學系數位創意組
東海大學資訊工程學系軟體工程組
逢甲大學資訊工程學系
國立臺中教育大學數學教育學系
國立勤益科技大學冷凍空調與能源系
國立勤益科技大學資訊工程系",1,0,7,逢甲大學應用數學系,東海大學資訊工程學系數位創意組,東海大學資訊工程學系軟體工程組,逢甲大學資訊工程學系,國立臺中教育大學數學教育學系,國立勤益科技大學冷凍空調與能源系,國立勤益科技大學資訊工程系,0,0,0,0,臺中市,3,0.42857142857142855,2,0.2857142857142857,2,0.2857142857142857,1,0
571,松山高中,"逢甲大學應用數學系
世新大學資訊管理學系資訊管理組",1,1,2,逢甲大學應用數學系,世新大學資訊管理學系資訊管理組,0,0,0,0,0,0,0,0,0,臺北市,0,0.0,1,0.5,1,0.5,0,3
572,新營高中,"逢甲大學應用數學系
中原大學應用數學系
東海大學應用數學系
國立屏東大學應用數學系",0,0,4,逢甲大學應用數學系,中原大學應用數學系,東海大學應用數學系,國立屏東大學應用數學系,0,0,0,0,0,0,0,臺南市,1,0.25,1,0.25,4,1.0,0,2
573,臺中女中,"逢甲大學應用數學系
國立暨南國際大學資訊管理學系
國立暨南國際大學土木工程學系
修平科技大學機械工程系
國立勤益科技大學資訊工程系
國立澎湖科技大學資訊工程系
國立屏東科技大學水土保持系",0,0,7,逢甲大學應用數學系,國立暨南國際大學資訊管理學系,國立暨南國際大學土木工程學系,修平科技大學機械工程系,國立勤益科技大學資訊工程系,國立澎湖科技大學資訊工程系,國立屏東科技大學水土保持系,0,0,0,0,臺中市,5,0.7142857142857143,1,0.14285714285714285,1,0.14285714285714285,1,0
574,逢甲大學,"逢甲大學應用數學系
逢甲大學自動控制工程學系",1,0,2,逢甲大學應用數學系,逢甲大學自動控制工程學系,0,0,0,0,0,0,0,0,0,臺中市,0,0.0,2,1.0,1,0.5,1,0
575,中山高中,"逢甲大學應用數學系
國立臺東大學文化資源與休閒產業學系",1,1,2,逢甲大學應用數學系,國立臺東大學文化資源與休閒產業學系,0,0,0,0,0,0,0,0,0,高雄市,1,0.5,1,0.5,1,0.5,0,2
577,文華高中,"逢甲大學應用數學系
東海大學經濟學系一般經濟組
逢甲大學工業工程與系統管理學系
靜宜大學財務金融學系",1,1,4,逢甲大學應用數學系,東海大學經濟學系一般經濟組,逢甲大學工業工程與系統管理學系,靜宜大學財務金融學系,0,0,0,0,0,0,0,臺中市,0,0.0,2,0.5,1,0.25,1,0
578,桃園高中,"逢甲大學應用數學系
東吳大學財務工程與精算數學系
東海大學應用數學系
逢甲大學統計學系大數據分析與市場決策組
銘傳大學新媒體暨傳播管理學系(臺北校區)
世新大學傳播管理學系",1,1,6,逢甲大學應用數學系,東吳大學財務工程與精算數學系,東海大學應用數學系,逢甲大學統計學系大數據分析與市場決策組,銘傳大學新媒體暨傳播管理學系(臺北校區),世新大學傳播管理學系,0,0,0,0,0,桃園市,0,0.0,2,0.3333333333333333,3,0.5,0,2
579,新營高中,"逢甲大學應用數學系
中原大學應用數學系
淡江大學數學學系資料科學與數理統計組
實踐大學資訊模擬與設計學系(高雄校區)
實踐大學服飾設計與經營學系(高雄校區)
實踐大學時尚設計學系(高雄校區)
南臺科技大學創新產品設計系
台南應用科技大學服飾設計管理系",0,0,8,逢甲大學應用數學系,中原大學應用數學系,淡江大學數學學系資料科學與數理統計組,實踐大學資訊模擬與設計學系(高雄校區),實踐大學服飾設計與經營學系(高雄校區),實踐大學時尚設計學系(高雄校區),南臺科技大學創新產品設計系,台南應用科技大學服飾設計管理系,0,0,0,臺南市,0,0.0,1,0.125,3,0.375,0,2
580,私立光隆家商,"逢甲大學應用數學系
逢甲大學纖維與複合材料學系
逢甲大學水利工程與資源保育學系",1,0,3,逢甲大學應用數學系,逢甲大學纖維與複合材料學系,逢甲大學水利工程與資源保育學系,0,0,0,0,0,0,0,0,基隆市,0,0.0,3,1.0,1,0.3333333333333333,0,3
581,臺南一中,"逢甲大學應用數學系
南臺科技大學生物科技系",1,1,2,逢甲大學應用數學系,南臺科技大學生物科技系,0,0,0,0,0,0,0,0,0,臺南市,0,0.0,1,0.5,1,0.5,0,2
582,臺中一中,"逢甲大學應用數學系
亞洲大學資訊工程學系數位內容與遊戲設計組",1,1,2,逢甲大學應用數學系,亞洲大學資訊工程學系數位內容與遊戲設計組,0,0,0,0,0,0,0,0,0,臺中市,0,0.0,1,0.5,1,0.5,1,0
583,家齊高中,"逢甲大學應用數學系
國立臺東大學應用數學系",1,1,2,逢甲大學應用數學系,國立臺東大學應用數學系,0,0,0,0,0,0,0,0,0,臺南市,1,0.5,1,0.5,2,1.0,0,2
584,新營高中,"逢甲大學應用數學系
靜宜大學財務與計算數學系計算數學組
靜宜大學財務與計算數學系財務工程組
靜宜大學財務金融學系
義守大學機械與自動化工程學系",1,1,5,逢甲大學應用數學系,靜宜大學財務與計算數學系計算數學組,靜宜大學財務與計算數學系財務工程組,靜宜大學財務金融學系,義守大學機械與自動化工程學系,0,0,0,0,0,0,臺南市,0,0.0,1,0.2,4,0.8,0,2
585,苗栗高中,"逢甲大學應用數學系
中原大學應用數學系
東海大學應用數學系
中國文化大學應用數學系",0,0,4,逢甲大學應用數學系,中原大學應用數學系,東海大學應用數學系,中國文化大學應用數學系,0,0,0,0,0,0,0,苗栗縣,0,0.0,1,0.25,4,1.0,0,1
586,鳳新高中,逢甲大學應用數學系,1,1,1,逢甲大學應用數學系,0,0,0,0,0,0,0,0,0,0,高雄市,0,0.0,1,1.0,1,1.0,0,2
587,臺南二中,"逢甲大學應用數學系
國立台東大學數學系",1,1,2,逢甲大學應用數學系,國立台東大學數學系,0,0,0,0,0,0,0,0,0,臺南市,1,0.5,1,0.5,2,1.0,0,2
588,私立長榮高中,"逢甲大學應用數學系
逢甲大學環境工程與科學學系
逢甲大學土木工程學系
南臺科技大學化學工程與材料工程系",1,1,4,逢甲大學應用數學系,逢甲大學環境工程與科學學系,逢甲大學土木工程學系,南臺科技大學化學工程與材料工程系,0,0,0,0,0,0,0,臺南市,0,0.0,3,0.75,1,0.25,0,2
589,靜宜大學,"逢甲大學應用數學系
銘傳大學經濟與金融學系(桃園校區)
世新大學財務金融學系
世新大學經濟學系",0,0,4,逢甲大學應用數學系,銘傳大學經濟與金融學系(桃園校區),世新大學財務金融學系,世新大學經濟學系,0,0,0,0,0,0,0,臺中市,0,0.0,1,0.25,1,0.25,1,0
590,天主教道明中學,"逢甲大學應用數學系
逢甲大學統計學系
逢甲大學水利工程與資源保育學系
逢甲大學土地管理學系",1,0,4,逢甲大學應用數學系,逢甲大學統計學系,逢甲大學水利工程與資源保育學系,逢甲大學土地管理學系,0,0,0,0,0,0,0,高雄市,0,0.0,4,1.0,1,0.25,0,2
591,彰師附工,"逢甲大學應用數學系
中原大學應用數學系
東海大學應用數學系
輔仁大學數學系應用數學組
元智大學資訊工程學系
國立嘉義大學應用數學系
國立雲林科技大學工業工程與管理系
國立虎尾科技大學機械與電腦輔助工程系",0,0,8,逢甲大學應用數學系,中原大學應用數學系,東海大學應用數學系,輔仁大學數學系應用數學組,元智大學資訊工程學系,國立嘉義大學應用數學系,國立雲林科技大學工業工程與管理系,國立虎尾科技大學機械與電腦輔助工程系,0,0,0,彰化縣,3,0.375,1,0.125,6,0.75,0,1
592,國立宜蘭大學,"逢甲大學應用數學系
逢甲大學統計學系商業大數據組
逢甲大學統計學系大數據分析與市場決策組
銘傳大學電子工程學系計算機應用組(桃園校區)
長庚科技大學護理系(嘉義校區)",1,1,5,逢甲大學應用數學系,逢甲大學統計學系商業大數據組,逢甲大學統計學系大數據分析與市場決策組,銘傳大學電子工程學系計算機應用組(桃園校區),長庚科技大學護理系(嘉義校區),0,0,0,0,0,0,宜蘭縣,0,0.0,3,0.6,1,0.2,0,3
593,臺南一中,"逢甲大學應用數學系
東海大學環境科學與工程學系
逢甲大學電子工程學系
逢甲大學通訊工程學系
長榮大學資訊管理學系
國立屏東科技大學車輛工程系
國立虎尾科技大學車輛工程系
南台科技大學電機工程系控制與晶片組
南台科技大學多媒體與電腦娛樂科學系",1,0,9,逢甲大學應用數學系,東海大學環境科學與工程學系,逢甲大學電子工程學系,逢甲大學通訊工程學系,長榮大學資訊管理學系,國立屏東科技大學車輛工程系,國立虎尾科技大學車輛工程系,南台科技大學電機工程系控制與晶片組,南台科技大學多媒體與電腦娛樂科學系,0,0,臺南市,2,0.2222222222222222,3,0.3333333333333333,1,0.1111111111111111,0,2
594,私立弘文高中,"逢甲大學應用數學系
中原大學應用數學系",1,1,2,逢甲大學應用數學系,中原大學應用數學系,0,0,0,0,0,0,0,0,0,臺中市,0,0.0,1,0.5,2,1.0,1,0
595,逢甲大學,"逢甲大學應用數學系
逢甲大學經濟學系
靜宜大學資訊管理學系-類繁星",1,1,3,逢甲大學應用數學系,逢甲大學經濟學系,靜宜大學資訊管理學系-類繁星,0,0,0,0,0,0,0,0,臺中市,0,0.0,2,0.6666666666666666,1,0.3333333333333333,1,0
596,新莊高中,"逢甲大學應用數學系
中原大學應用數學系",1,1,2,逢甲大學應用數學系,中原大學應用數學系,0,0,0,0,0,0,0,0,0,新北市,0,0.0,1,0.5,2,1.0,0,3
598,私立明德高中,"逢甲大學應用數學系
東海大學化學工程與材料工程學系
逢甲大學化學工程學系
逢甲大學電子工程學系
國立聯合大學材料科學工程學系
國立聯合大學光電工程學系",1,0,6,逢甲大學應用數學系,東海大學化學工程與材料工程學系,逢甲大學化學工程學系,逢甲大學電子工程學系,國立聯合大學材料科學工程學系,國立聯合大學光電工程學系,0,0,0,0,0,臺中市,2,0.3333333333333333,3,0.5,1,0.16666666666666666,1,0
599,百齡高中,逢甲大學應用數學系,1,1,1,逢甲大學應用數學系,0,0,0,0,0,0,0,0,0,0,臺北市,0,0.0,1,1.0,1,1.0,0,3
600,員林高中,逢甲大學應用數學系,1,1,1,逢甲大學應用數學系,0,0,0,0,0,0,0,0,0,0,彰化縣,0,0.0,1,1.0,1,1.0,0,1
601,私立明德高中,"逢甲大學應用數學系
逢甲大學機械與電腦輔助工程學系
逢甲大學電子工程學系
逢甲大學通訊工程學系",1,0,4,逢甲大學應用數學系,逢甲大學機械與電腦輔助工程學系,逢甲大學電子工程學系,逢甲大學通訊工程學系,0,0,0,0,0,0,0,臺中市,0,0.0,4,1.0,1,0.25,1,0
602,家齊高中,"逢甲大學應用數學系
逢甲大學水利工程與資源保育學系
銘傳大學資訊工程學系(桃園校區)",1,0,3,逢甲大學應用數學系,逢甲大學水利工程與資源保育學系,銘傳大學資訊工程學系(桃園校區),0,0,0,0,0,0,0,0,臺南市,0,0.0,2,0.6666666666666666,1,0.3333333333333333,0,2
603,私立長榮高中,"逢甲大學應用數學系
東海大學應用數學系
長榮大學會計資訊學系
長榮大學資訊工程學系
崑山科技大學資訊管理系",0,0,5,逢甲大學應用數學系,東海大學應用數學系,長榮大學會計資訊學系,長榮大學資訊工程學系,崑山科技大學資訊管理系,0,0,0,0,0,0,臺南市,0,0.0,1,0.2,2,0.4,0,2
604,私立長榮高中,"逢甲大學應用數學系
中原大學工業與系統工程學系工程組
逢甲大學纖維與複合材料學系
逢甲大學工業工程與系統管理學系
朝陽科技大學工業工程與管理系
南臺科技大學化學工程與材料工程系
明志科技大學材料工程系",1,0,7,逢甲大學應用數學系,中原大學工業與系統工程學系工程組,逢甲大學纖維與複合材料學系,逢甲大學工業工程與系統管理學系,朝陽科技大學工業工程與管理系,南臺科技大學化學工程與材料工程系,明志科技大學材料工程系,0,0,0,0,臺南市,0,0.0,3,0.42857142857142855,1,0.14285714285714285,0,2
605,虎尾高中,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學工業工程與系統管理學系",1,0,3,逢甲大學應用數學系,東海大學應用數學系,逢甲大學工業工程與系統管理學系,0,0,0,0,0,0,0,0,雲林縣,0,0.0,2,0.6666666666666666,2,0.6666666666666666,0,1
606,天主教道明中學,"逢甲大學應用數學系
東海大學統計學系(決策管理組)
淡江大學統計學系
逢甲大學統計學系大數據分析與市場決策組
靜宜大學財務金融學系-一般組
國立高雄科技大學漁業生產與管理系(楠梓校區)
朝陽科技大學工業工程與管理系
南臺科技大學電機工程系控制與晶片組
崑山科技大學休閒遊憩與運動管理系",1,0,9,逢甲大學應用數學系,東海大學統計學系(決策管理組),淡江大學統計學系,逢甲大學統計學系大數據分析與市場決策組,靜宜大學財務金融學系-一般組,國立高雄科技大學漁業生產與管理系(楠梓校區),朝陽科技大學工業工程與管理系,南臺科技大學電機工程系控制與晶片組,崑山科技大學休閒遊憩與運動管理系,0,0,高雄市,1,0.1111111111111111,2,0.2222222222222222,1,0.1111111111111111,0,2
607,國立高雄師範大學,"逢甲大學應用數學系
東海大學應用數學系
中國文化大學應用數學系
中國文化大學經濟學系
中國文化大學資訊傳播學系",0,0,5,逢甲大學應用數學系,東海大學應用數學系,中國文化大學應用數學系,中國文化大學經濟學系,中國文化大學資訊傳播學系,0,0,0,0,0,0,高雄市,0,0.0,1,0.2,3,0.6,0,2
608,臺中一中,"逢甲大學應用數學系
東海大學應用數學系
淡江大學數學學系數學組
靜宜大學財務與計算數學系財務工程組
亞洲大學資訊工程學系數位內容組
國立勤益科技大學資訊工程系
朝陽科技大學資訊工程系",1,1,7,逢甲大學應用數學系,東海大學應用數學系,淡江大學數學學系數學組,靜宜大學財務與計算數學系財務工程組,亞洲大學資訊工程學系數位內容組,國立勤益科技大學資訊工程系,朝陽科技大學資訊工程系,0,0,0,0,臺中市,1,0.14285714285714285,1,0.14285714285714285,5,0.7142857142857143,1,0
609,內湖高中,"逢甲大學應用數學系
東吳大學數學系
中原大學應用數學系
淡江大學資訊工程學系
輔仁大學數學系應用數學組",0,0,5,逢甲大學應用數學系,東吳大學數學系,中原大學應用數學系,淡江大學資訊工程學系,輔仁大學數學系應用數學組,0,0,0,0,0,0,臺北市,0,0.0,1,0.2,5,1.0,0,3
610,國立中央大學,"逢甲大學應用數學系
中國文化大學機械工程學系
銘傳大學經濟與金融學系(桃園校區)
銘傳大學資訊工程學系(桃園校區)",1,1,4,逢甲大學應用數學系,中國文化大學機械工程學系,銘傳大學經濟與金融學系(桃園校區),銘傳大學資訊工程學系(桃園校區),0,0,0,0,0,0,0,桃園市,0,0.0,1,0.25,1,0.25,0,2
611,國立臺灣海洋大學,"逢甲大學應用數學系
中原大學應用數學系
東海大學應用數學系
銘傳大學資訊工程學系(桃園校區)",0,0,4,逢甲大學應用數學系,中原大學應用數學系,東海大學應用數學系,銘傳大學資訊工程學系(桃園校區),0,0,0,0,0,0,0,基隆市,0,0.0,1,0.25,3,0.75,0,3
